charity_number,name,original_url
CC28263,"A N V Dobbs Memorial Scholarship Fund",API_ERROR
CC44636,"Alison and Andrew Cochrane Charitable Trust",API_ERROR
CC60901,"Aman Islamic Trust",API_ERROR
CC37767,"Andrew Graeme Smith's Charitable Trust for Orthopaedic Services",API_ERROR
CC23005,"Ashburton Silver Band Charitable Trust",API_ERROR
CC54593,"August Family Charitable Trust",API_ERROR
CC31491,"Avalon Pavilion Charitable Trust",API_ERROR
CC48696,"Avondale Community Gardeners",API_ERROR
CC25522,"Beatrice and Arthur Wade Charitable Trust",API_ERROR
CC21956,"Bert and May Wilson Charitable Trust",API_ERROR
CC49306,"Bowbanks Trust",API_ERROR
CC33151,"Buddle Findlay Child Health Foundation Trust",API_ERROR
CC21670,"C & E A Patchett Perpetual Trust",API_ERROR
CC39355,"C.M Laing Charitable Trust",API_ERROR
CC20217,"Charles & Phillip Deibert Trust",API_ERROR
CC25300,"Charles Plimmer Trust",API_ERROR
CC36703,"Chinese Senior Community Incorporated",API_ERROR
CC31260,"Church at Feilding",API_ERROR
CC22622,"Denise Rodley - Churches Pipe Organ Trust",API_ERROR
CC26769,"Doris May Chapman Charitable Trust",API_ERROR
CC45799,"Dorothy Williams Charitable Trust",API_ERROR
CC45756,"Eastbourne Games Charitable Trust",API_ERROR
CC20574,"Edith L G Tongue Trust",API_ERROR
CC38009,"Edward Moritz Theomin Charitable Trust",API_ERROR
CC25502,"Ellen Ngaire Cooper Trust",API_ERROR
CC49196,"Emeric Erdei Trust Fund",API_ERROR
CC23751,"Estate Agnes Elizabeth Fraser",API_ERROR
CC21462,"Estate Of Robert John Stewart",API_ERROR
CC22575,"Estate of Ada Henrietta Godwin",API_ERROR
CC23806,"Estate of Albert James Hern",API_ERROR
CC24696,"Estate of Alexander Anderson",API_ERROR
CC27047,"Estate of Allan Neill Weaver",API_ERROR
CC24043,"Estate of Andrew Black",API_ERROR
CC22577,"Estate of Arthur Albert Piper",API_ERROR
CC40163,"Estate of Arthur Willis Oldman",API_ERROR
CC20615,"Estate of Cecil Napier Champ",API_ERROR
CC26813,"Estate of Cecile Eleanor Drury",API_ERROR
CC21896,"Estate of Claire Yvonne Thomas",API_ERROR
CC10007,"Estate of Claude Cecil White Porter",API_ERROR
CC10027,"Estate of David Robert Teaze",API_ERROR
CC48902,"Estate of Derrick James Osborne",API_ERROR
CC21083,"Estate of Donald George Mackay Turnbull",API_ERROR
CC23575,"Estate of Donald Manson",API_ERROR
CC23139,"Estate of Dorothea Sydney McAuliffe",API_ERROR
CC22025,"Estate of Douglas Hooper",API_ERROR
CC29576,"Estate of Ellen Gwenda Edwards",API_ERROR
CC23647,"Estate of Ellen Ruth Elizabeth Upchurch",API_ERROR
CC30723,"Estate of Emma Agnes Sellars",API_ERROR
CC22126,"Estate of Ernest Melville Frank",API_ERROR
CC38398,"Estate of Francis Joseph Madigan",API_ERROR
CC27378,"Estate of George Bodley",API_ERROR
CC25939,"Estate of Gwendolen Esmee Dixon",API_ERROR
CC25368,"Estate of Gwendoline Rakura Dobbs",API_ERROR
CC31081,"Estate of Henry Benjamin Eglinton",API_ERROR
CC10063,"Estate of Henry Thomas Adams",API_ERROR
CC22198,"Estate of Irene Marjorie Davis",API_ERROR
CC22807,"Estate of Ivan Noel Turkington",API_ERROR
CC22581,"Estate of Jack Thorby McFadzean",API_ERROR
CC22941,"Estate of James Dawson Bashford",API_ERROR
CC23349,"Estate of Jessie Rebecca Kirk",API_ERROR
CC23084,"Estate of John Cumming",API_ERROR
CC10060,"Estate of John Duncan McGruer",API_ERROR
CC38574,"Estate of John Meehan",API_ERROR
CC44724,"Estate of John Spencer Dobson",API_ERROR
CC26980,"Estate of John Sylvanus Cotterell",API_ERROR
CC22196,"Estate of John Travers Duggan",API_ERROR
CC27720,"Estate of Josephine Mary Pearl Patterson",API_ERROR
CC20927,"Estate of Kate Campbell",API_ERROR
CC20620,"Estate of Kenneth Arnold North",API_ERROR
CC21419,"Estate of Lawrence William Teaze",API_ERROR
CC38522,"Estate of Leslie Charles Doubleday",API_ERROR
CC23185,"Estate of Logan Cochrane Bell",API_ERROR
CC22625,"Estate of Louie Muriel Jessie Spittall",API_ERROR
CC20716,"Estate of Mary Adeline Allen",API_ERROR
CC23669,"Estate of Michael Mullin",API_ERROR
CC22827,"Estate of Monica Emily Kelleher",API_ERROR
CC22576,"Estate of Reginald Francis Bowden",API_ERROR
CC35551,"Estate of Reginald Mitta Mackinnon",API_ERROR
CC22346,"Estate of Robert Henry Clark",API_ERROR
CC48045,"Estate of Robert Kenyon Rhodes",API_ERROR
CC22260,"Estate of Roelof Cornelis Hendrik Forbes",API_ERROR
CC22675,"Estate of Ruth Ada Orr",API_ERROR
CC22150,"Estate of Ruth Petty",API_ERROR
CC20536,"Estate of Thomas Lindsay Buick",API_ERROR
CC10884,"Estate of Thomas White",API_ERROR
CC27069,"Estate of Valerie Graham Robertson",API_ERROR
CC47604,"Estate of Vera Joyce Crichton",API_ERROR
CC25585,"Estate of Walter Francis Darby",API_ERROR
CC30121,"Estate of William Cooke",API_ERROR
CC22988,"Estate of William Hanna",API_ERROR
CC22010,"Estate of William Henry Carter",API_ERROR
CC28532,"Estate of William Weir",API_ERROR
CC10044,"Estate of William White",API_ERROR
CC23904,"Estate of Winnifred Edith Constance Lea",API_ERROR
CC20564,"Fatamanu Aoga Tupu Olaola Moui Trust",API_ERROR
CC53479,"Fearless Fred Imms Trust",API_ERROR
CC57668,"Flint Lock Foundation",API_ERROR
CC60791,"Free Public Advocacy Services Trust",API_ERROR
CC32726,"Friends of Tarras School Society Incorporated",API_ERROR
CC21229,"Friends of the Rotorua District Library Incorporated",API_ERROR
CC20803,"George Boulton Educational Trust",API_ERROR
CC21781,"Grace Chinese Mission Church Incorporated",API_ERROR
CC23895,"Grace Helen Stevenson Estate",API_ERROR
CC51262,"GraceWay Church Trust",API_ERROR
CC38491,"Graeme Eskrigge Charitable Trust",API_ERROR
CC46619,"Gray Goddard Bequest",API_ERROR
CC47767,"H and K Reynolds Charitable Trust",API_ERROR
CC57681,"Haeata Community Campus PTA",API_ERROR
CC47279,"Haititaimarangai Marae 339 Trust",API_ERROR
CC61127,"Haven Ministries Trust",API_ERROR
