charity_number,name,grant_page_url
CC28263,"A N V Dobbs Memorial Scholarship Fund",https://www.publictrust.co.nz/grants/a-n-v-dobbs-memorial-scholarship/
CC44636,"Alison and Andrew Cochrane Charitable Trust",
CC37767,"Andrew Graeme Smith's Charitable Trust for Orthopaedic Services",
CC25522,"Beatrice and Arthur Wade Charitable Trust",
CC21956,"Bert and May Wilson Charitable Trust",
CC49306,"Bowbanks Trust",https://www.publictrust.co.nz/grants/toc-h-nz-bowerbank-ct/
CC21670,"C & E A Patchett Perpetual Trust",
CC39355,"C.M Laing Charitable Trust",https://www.publictrust.co.nz/grants/?type=organisation&region=central-and-lower-north-island
CC20217,"Charles & Phillip Deibert Trust",
CC25300,"Charles Plimmer Trust",
CC22622,"Denise Rodley - Churches Pipe Organ Trust",
CC26769,"Doris May Chapman Charitable Trust",https://www.publictrust.co.nz/grants/?type=organisation&region=central-and-lower-north-island
CC45799,"Dorothy Williams Charitable Trust",
CC20574,"Edith L G Tongue Trust",
CC25502,"Ellen Ngaire Cooper Trust",
CC49196,"Emeric Erdei Trust Fund",
CC23751,"Estate Agnes Elizabeth Fraser",
CC21462,"Estate Of Robert John Stewart",https://www.publictrust.co.nz/grants/john-stewart-booth-trust/
CC22575,"Estate of Ada Henrietta Godwin",
CC23806,"Estate of Albert James Hern",
CC24696,"Estate of Alexander Anderson",
CC27047,"Estate of Allan Neill Weaver",
CC24043,"Estate of Andrew Black",
CC22577,"Estate of Arthur Albert Piper",
CC40163,"Estate of Arthur Willis Oldman",
CC20615,"Estate of Cecil Napier Champ",
CC26813,"Estate of Cecile Eleanor Drury",
CC21896,"Estate of Claire Yvonne Thomas",
CC10007,"Estate of Claude Cecil White Porter",
CC10027,"Estate of David Robert Teaze",
CC48902,"Estate of Derrick James Osborne",
CC21083,"Estate of Donald George Mackay Turnbull",
CC23575,"Estate of Donald Manson",
CC23139,"Estate of Dorothea Sydney McAuliffe",
CC22025,"Estate of Douglas Hooper",
CC29576,"Estate of Ellen Gwenda Edwards",
CC23647,"Estate of Ellen Ruth Elizabeth Upchurch",
CC30723,"Estate of Emma Agnes Sellars",https://www.publictrust.co.nz/grants/estate-of-emma-agnes-sellars-charitable-trust/
CC22126,"Estate of Ernest Melville Frank",
CC38398,"Estate of Francis Joseph Madigan",
CC27378,"Estate of George Bodley",
CC25939,"Estate of Gwendolen Esmee Dixon",
CC25368,"Estate of Gwendoline Rakura Dobbs",https://www.publictrust.co.nz/grants/a-n-v-dobbs-memorial-scholarship/
CC31081,"Estate of Henry Benjamin Eglinton",
CC10063,"Estate of Henry Thomas Adams",
CC22198,"Estate of Irene Marjorie Davis",
CC22807,"Estate of Ivan Noel Turkington",
CC22581,"Estate of Jack Thorby McFadzean",
CC22941,"Estate of James Dawson Bashford",
CC23349,"Estate of Jessie Rebecca Kirk",
CC23084,"Estate of John Cumming",
CC10060,"Estate of John Duncan McGruer",
CC38574,"Estate of John Meehan",
CC44724,"Estate of John Spencer Dobson",
CC26980,"Estate of John Sylvanus Cotterell",
CC22196,"Estate of John Travers Duggan",
CC27720,"Estate of Josephine Mary Pearl Patterson",
CC20927,"Estate of Kate Campbell",
CC20620,"Estate of Kenneth Arnold North",
CC21419,"Estate of Lawrence William Teaze",
CC38522,"Estate of Leslie Charles Doubleday",
CC23185,"Estate of Logan Cochrane Bell",
CC22625,"Estate of Louie Muriel Jessie Spittall",
CC20716,"Estate of Mary Adeline Allen",
CC23669,"Estate of Michael Mullin",
CC22827,"Estate of Monica Emily Kelleher",
