id,charity_number,name,website_url,curated_grant_url,discovery_source,source
91675,CU61307017,Kohaa,https://kohaa.org.nz/login,https://kohaa.org.nz/login,directory,curated
91676,CUA721A86B,Images,https://images.squarespace-cdn.com/content/v1/54ea41b4e4b032bc0831c7ea/1625090922794-PJYLTR2T6VUE0N45RTFV/GNZ_Kohaa.png,https://images.squarespace-cdn.com/content/v1/54ea41b4e4b032bc0831c7ea/1625090922794-PJYLTR2T6VUE0N45RTFV/GNZ_Kohaa.png,directory,curated
91677,CU0C1AC7D6,Finz,https://www.finz.org.nz,https://www.finz.org.nz,directory,curated
91678,CUEE803FCD,Strategicgrants,https://www.strategicgrants.co.nz,https://www.strategicgrants.co.nz,directory,curated
91679,CUD2E00129,Perpetualguardian,https://perpetualguardian.fluxx.io/user_sessions/new,https://perpetualguardian.fluxx.io/user_sessions/new,directory,curated
91680,CU3AFE4F94,Flickr,https://www.flickr.com/photos/ks_marks/,https://www.flickr.com/photos/ks_marks/,directory,curated
91681,CUBD672B63,Creativecommons,https://creativecommons.org/licenses/by-nc-nd/2.0/,https://creativecommons.org/licenses/by-nc-nd/2.0/,directory,curated
91682,CU75FFA39C,Lgnz,https://www.lgnz.co.nz/local-government-in-nz/new-zealands-councils,https://www.lgnz.co.nz/local-government-in-nz/new-zealands-councils,directory,curated
91683,CUFDD52898,Community,https://community.net.nz/resources/nz-navigator-trust/community-trusts/,https://community.net.nz/resources/nz-navigator-trust/community-trusts/,directory,curated
91684,CU9DFB39DE,Hgg,http://www.hgg.co.nz,http://www.hgg.co.nz,directory,curated
91685,CU69281AA1,Workingtogether,http://www.workingtogether.org.nz,http://www.workingtogether.org.nz,directory,curated
91686,CUAE8BD6B5,Mailchi,https://mailchi.mp/4122502d8e19/i16xhaokzh,https://mailchi.mp/4122502d8e19/i16xhaokzh,directory,curated
